alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
3.32,0.301,3.12,5.04,2.02,-0.0301,Calm,Sad
3.22,0.311,3.15,5.03,2.03,-0.0377,Calm,Sad
3.2,0.313,3.15,5.01,1.99,-0.0279,Calm,Sad
3.21,0.312,3.21,4.89,1.96,-0.0158,Calm,Sad
3.21,0.311,3.25,4.51,1.95,-0.00729,Calm,Sad
3.1,0.322,3.19,4.04,1.99,-0.00394,Calm,Sad
2.98,0.336,3.17,3.97,2.45,-0.00263,Calm,Sad
3,0.333,3.45,4.02,2.72,-0.000187,Calm,Sad
2.98,0.335,3.64,4.07,2.72,0.00991,Calm,Sad
3.06,0.327,3.52,4.08,2.71,0.0169,Calm,Sad
3.25,0.308,3.47,4.03,2.71,0.0153,Calm,Sad
3.34,0.299,3.47,4.02,2.74,0.00803,Calm,Sad
3.28,0.305,3.43,4.04,2.76,0.00372,Calm,Sad
3.23,0.309,3.38,3.98,2.79,-0.00309,Calm,Sad
3.22,0.311,3.33,3.96,2.85,-0.0189,Calm,Sad
3.21,0.312,3.28,4.03,2.87,-0.0279,Calm,Sad
3.25,0.307,3.35,4.08,2.78,-0.0327,Calm,Sad
